0	industry
1	algorithm
2	mining
3	algorithm
4	payment
5	consensus
6	nodes
7	protocol
8	performance
9	transactions
10	transaction
11	mining
12	attack
13	applications
14	scalability
15	contracts
16	contract
17	transactions
18	ethereum
19	cryptocurrency
20	bitcoin
21	transaction
22	payment
23	cryptocurrencies
24	performance
25	protocol
26	nodes
27	bitcoin
28	review
29	literature
30	economy
31	cryptocurrency
32	application
33	adoption
34	innovation
35	market
36	contracts
37	supply
38	contract
39	traceability
40	food
41	ethereum
42	platform
43	smart
44	application
45	software
46	consensus
47	transaction
48	transactions
49	smart
