Year_Month	News7	Papers10	Patents13
2017_01	269.0	315.0	0.0
2017_02	218.0	19.0	2.0
2017_03	352.0	18.0	0.0
2017_04	332.0	26.0	0.0
2017_05	548.0	39.0	1.0
2017_06	438.0	59.0	0.0
2017_07	656.0	142.0	4.0
2017_08	555.0	33.0	6.0
2017_09	931.0	65.0	2.0
2017_10	794.0	83.0	5.0
2017_11	1230.0	92.0	11.0
2017_12	2107.0	98.0	5.0
2018_01	1610.0	1025.0	12.0
2018_02	2642.0	17.0	5.0
2018_03	2208.0	103.0	4.0
2018_04	1823.0	82.0	11.0
2018_05	1832.0	123.0	7.0
2018_06	1725.0	137.0	10.0
2018_07	1163.0	543.0	18.0
2018_08	836.0	96.0	14.0
2018_09	879.0	175.0	16.0
2018_10	1027.0	204.0	35.0
2018_11	963.0	242.0	17.0
2018_12	856.0	225.0	21.0
2019_01	1056.0	2006.0	18.0
2019_02	651.0	97.0	14.0
2019_03	788.0	285.0	20.0
2019_04	540.0	290.0	40.0
2019_05	813.0	366.0	35.0
2019_06	1827.0	353.0	24.0
2019_07	1320.0	345.0	55.0
2019_08	627.0	212.0	42.0
2019_09	706.0	278.0	47.0
2019_10	1037.0	426.0	54.0
2019_11	880.0	343.0	46.0
2019_12	730.0	403.0	84.0
2020_01	638.0	2646.0	59.0
2020_02	402.0	220.0	62.0
2020_03	269.0	334.0	107.0
2020_04	157.0	256.0	97.0
2020_05	240.0	276.0	102.0
2020_06	210.0	472.0	150.0
2020_07	336.0	292.0	100.0
2020_08	438.0	278.0	113.0
2020_09	268.0	494.0	186.0
2020_10	363.0	435.0	124.0
2020_11	470.0	463.0	137.0
2020_12	493.0	470.0	158.0
2021_01	720.0	3850.0	122.0
2021_02	952.0	262.0	145.0
2021_03	1005.0	400.0	172.0
2021_04	1420.0	328.0	164.0
2021_05	1466.0	420.0	125.0
2021_06	1541.0	461.0	250.0
2021_07	1213.0	359.0	182.0
2021_08	1395.0	246.0	277.0
2021_09	1423.0	394.0	155.0
2021_10	1591.0	241.0	190.0
2021_11	1325.0	261.0	264.0
2021_12	1691.0	343.0	192.0
2022_01	1606.0	5796.0	170.0
2022_02	1575.0	199.0	269.0
2022_03	1855.0	355.0	244.0
2022_04	1174.0	196.0	201.0
2022_05	2830.0	233.0	124.0
2022_06	2576.0	381.0	116.0
2022_07	1706.0	307.0	0.0
2022_08	2103.0	294.0	60.0
2022_09	1916.0	339.0	271.0
2022_10	1617.0	291.0	0.0
2022_11	2279.0	424.0	116.0
2022_12	1886.0	537.0	74.0
2023_01	2092.0	5874.0	126.0
2023_02	1884.0	274.0	101.0
2023_03	2044.0	368.0	173.0
2023_04	1628.0	267.0	149.0
2023_05	1746.0	347.0	115.0
2023_06	1619.0	350.0	158.0
2023_07	1172.0	352.0	99.0
2023_08	1389.0	315.0	123.0
2023_09	1285.0	421.0	138.0
2023_10	1411.0	338.0	144.0
2023_11	1332.0	348.0	161.0
2023_12	1251.0	431.0	147.0
