,topic number,label,keywords
0,0,exchange payment currency funds payment payments,transaction payment transactions account amount exchange cryptocurrency request transfer currency
1,1,ledger blocks block record nodes,ledger block transaction transactions blocks nodes record access database operation
2,2,risk embodiments expertise engine intelligence score,embodiments security devices management platform invention environment actions score privacy
3,3,request apparatus programs target blockchain result storage media,request response computer node media transaction programs result target service
4,4,key signature random keys public-key,key node transaction signature nodes encryption block hash public-key private-key
5,5,identity authentication token access request,request identity access authentication server verification response service identifier management
6,6,training medium intelligence implementation medium field,medium computer field image target intelligence disclosure program learning machine
7,7,instructions functions software resources applications,processor memory communication application devices instructions software computer interface resource
8,8,power energy temperature assembly frequency,power communication energy unit devices signal wireless control source management
9,9,vehicles vehicle location features location sensors,vehicle location operation event response control sensor vehicles devices communication
10,10,image display images video object,image display content interface object images input video output processor
11,11,ownership gaming rights digital-assets platform,platform asset management disclosure ownership game embodiments assets ledger content
