,topic number,label,lda_keywords
0,0,currency funds transfer currency currency account wallet,asset payment account assets transfer amount transactions cryptocurrency currency customer
1,1,annotation graph score embodiments machine,content document machine risk computer score embodiments graph object documents
2,2,computer programs computer programs computer computer storage programs computer storage computer programs computer storage,contract storage computer target apparatus request execution code result client
3,3,wireless communication radio antenna registration module,communication module processor memory interface application wireless communications control container
4,4,security resources applications platforms services,devices security resource application software management platform environment control access
5,5,block blocks block block hash block blockchain,block hash ledger record blocks chain transactions database nodes records
6,6,vehicle vehicles transportation vehicle vehicle proximate,vehicle event file media sensor events vehicles location transport traffic
7,7,power energy energy storage power supply energy storage device,storage power devices unit energy circuit control battery sensor units
8,8,item items item record customer order group devices,item items platform exchange order game location server delivery activity
9,9,key node signature message backup transaction,node key nodes message consensus signature encryption group keys messages
10,10,image images position feature image target,image location feature video display target images code point identification
11,11,identity login authentication identity authentication access token,service request identity authentication access server entity client verification response
